Saggio;EsitoSaggio;Molecola;Fonte;Note
AMMINE TERZIARIE (BOUCHARDAT);POSITIVO;LIDOCAINA HCl;DAZEBAO;PPT ROSSO SCURO
AMMINE TERZIARIE (BOUCHARDAT);POSITIVO;METFORMINA HCl;;
AMMINE TERZIARIE (BOUCHARDAT);POSITIVO;NICOTINAMIDE;;
AMMINE TERZIARIE (BOUCHARDAT);POSITIVO;PROBENECID;;
AMMINE TERZIARIE (BOUCHARDAT);POSITIVO;PROCAINA HCl;;
AMMINE TERZIARIE (BOUCHARDAT);POSITIVO;PROCAINAMMIDE HCl;;
BOUCHARDAT IN AMB BASICO (LATTATI);NEGATIVO;CALCIO GLICEROFOSFATO;SCHEDE;
BOUCHARDAT IN AMB BASICO (LATTATI);NEGATIVO;SODIO CITRATO;SCHEDE;
BOUCHARDAT IN AMB BASICO (LATTATI);NEGATIVO;SUCRALOSIO;SCHEDE;
BOUCHARDAT IN AMB BASICO (LATTATI);POSITIVO;CALCIO LATTATO;SCHEDE;
BOUCHARDAT IN AMB BASICO (CLORBUTANOLO);POSITIVO;CLORBUTANOLO;DAZEBAO;COLORAZIONE GIALLO, PPT CHIARO DOPO 15 MIN
CaCl2 IN AMB BASICO (CITRATI);NEGATIVO;MANNITOLO;DAZEBAO;ALL'AGGIUNTA DI CACL2 SI HA COLORAZIONE ROSA E NON SI FORMA PPT BIANCO
CaCl2 IN AMB BASICO (CITRATI);NEGATIVO;SUCRALOSIO;SCHEDE;
CaCl2 IN AMB BASICO (CITRATI);POSITIVO;ACIDO CITRICO;DAZEBAO;ALL'AGGIUNTA DI CACL2 SI FORMA PPT BIANCO. SAGGIO NEGATIVO SE SI DIMENTICA DI RENDERE BASICO AMBIENTE
CaCl2 IN AMB BASICO (CITRATI);POSITIVO;ACIDO TARTARICO;DAZEBAO;ALL'AGGIUNTA DI CACL2 SI FORMA PPT BIANCO. SAGGIO NEGATIVO SE SI DIMENTICA DI RENDERE BASICO AMBIENTE
CaCl2 IN AMB BASICO (CITRATI);POSITIVO;LITIO CITRATO;SCHEDE;
CaCl2 IN AMB BASICO (CITRATI);POSITIVO;POTASSIO CITRATO;DAZEBAO;ALL'AGGIUNTA DI CACL2 SI FORMA PPT BIANCO
CaCl2 IN AMB BASICO (CITRATI);POSITIVO;POTASSIO TARTRATO;DAZEBAO;ALL'AGGIUNTA DI CACL2 SI FORMA PPT BIANCO
CaCl2 IN AMB BASICO (CITRATI);POSITIVO;SODIO CITRATO;SCHEDE;PPT BIANCO
CHEN-KAO (FENIL-ALCHIL-AMMINE);POSITIVO;EFEDRINA HCl;SCHEDE;VIOLA
CHEN-KAO (FENIL-ALCHIL-AMMINE);POSITIVO;FENILEFRINA HCl;SCHEDE;BLU-VIOLA
CLORAMMINA T & CH2Cl2 (BROMURI E IODURI);NEGATIVO;ACIDO ASCORBICO;DAZEBAO;
CLORAMMINA T & CH2Cl2 (BROMURI E IODURI);NEGATIVO;FUROSEMIDE;DAZEBAO;
CLORAMMINA T & CH2Cl2 (BROMURI E IODURI);NEGATIVO;SODIO CITRATO;SCHEDE;
CLORAMMINA T (FENOTIAZINE);NEGATIVO;CISTEINA HCl;SCHEDE;
CLORAMMINA T (FENOTIAZINE);NEGATIVO;FTALILSULFATIAZOLO;DAZEBAO;
CLORAMMINA T (FENOTIAZINE);NEGATIVO;IDROCLOROTIAZIDE;DAZEBAO;
CLORAMMINA T (FENOTIAZINE);NEGATIVO;SACCARINA SODICA;SCHEDE;
CLORAMMINA T (FENOTIAZINE);POSITIVO;CLORPROMAZINA HCl;DAZEBAO;COLORAZIONE ROSSO TENDENTE AL VIOLA
CLORAMMINA T (FENOTIAZINE);POSITIVO;PROMETAZINA HCl;SCHEDE;ROSSO
DENIGES & KMnO4 (CITRATI);DUBBIO;POTASSIO TARTRATO;SCHEDE;SAGGIO DUBBIO. AD ALCUNI POSITIVO AD ALTRI NEGATIVO
DENIGES & KMnO4 (CITRATI);NEGATIVO;ACIDO TARTARICO;DAZEBAO;DECOLORAZIONE MA SENZA PPT
DENIGES & KMnO4 (CITRATI);NEGATIVO;MANNITOLO;;
DENIGES & KMnO4 (CITRATI);NEGATIVO;POTASSIO TARTRATO;;DECOLORAZIONE MA NON PPT
DENIGES & KMnO4 (CITRATI);NEGATIVO;SODIO ACETATO;SCHEDE;
