Saggio;EsitoSaggio;Molecola;Fonte;Note
LASSAIGNE:ZOLFO;NEGATIVO;ACIDO NICOTINICO;DAZEBAO;
LASSAIGNE:ZOLFO;NEGATIVO;ACIDO SALICILICO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;ACIDO SORBICO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;ACIDO TANNICO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;ASPARTAME;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;BENZOCAINA;DAZEBAO;
LASSAIGNE:ZOLFO;NEGATIVO;CAFFEINA;DAZEBAO;
LASSAIGNE:ZOLFO;NEGATIVO;CALCIO GLICEROFOSFATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;CALCIO LATTATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;CLORALIO IDRATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;CLORAMINA T;;
LASSAIGNE:ZOLFO;NEGATIVO;CLORBUTANOLO;DAZEBAO;
LASSAIGNE:ZOLFO;NEGATIVO;DIFENIDRAMINA HCl;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;ECONAZOLO NITRATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;EFEDRINA HCl;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;FENAZONE;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;FENILALANINA;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;FENILEFRINA HCl;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;FENOLO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;FRUTTOSIO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;IDROCORTISONE;DAZEBAO;
LASSAIGNE:ZOLFO;NEGATIVO;IDROCORTISONE ACETATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;INDOMETACINA;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;ISONIAZIDE;;
LASSAIGNE:ZOLFO;NEGATIVO;LATTOSIO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;LEUCINA;;
LASSAIGNE:ZOLFO;NEGATIVO;LIDOCAINA HCl;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;LITIO CITRATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;MAGNESIO ASPARTATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;MAGNESIO LATTATO;;
LASSAIGNE:ZOLFO;NEGATIVO;MANNITOLO;DAZEBAO;
LASSAIGNE:ZOLFO;NEGATIVO;METFORMINA HCl;;
LASSAIGNE:ZOLFO;NEGATIVO;METILPARABEN;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;METRONIDAZOLO;;
LASSAIGNE:ZOLFO;NEGATIVO;NICOTINAMIDE;DAZEBAO;
LASSAIGNE:ZOLFO;NEGATIVO;PIRIDOSSINA HCl;;
LASSAIGNE:ZOLFO;NEGATIVO;POTASSIO ASPARTATO;;
LASSAIGNE:ZOLFO;NEGATIVO;POTASSIO SORBATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;POTASSIO TARTRATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;PREDNISONE;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;PROCAINA HCl;;
LASSAIGNE:ZOLFO;NEGATIVO;PROCAINAMMIDE HCl;;
LASSAIGNE:ZOLFO;NEGATIVO;PROLINA;;
LASSAIGNE:ZOLFO;NEGATIVO;PROPIFENAZONE;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;PROPILPARABEN;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;SCOPOLAMINA HBr;;
LASSAIGNE:ZOLFO;NEGATIVO;SERINA;;
LASSAIGNE:ZOLFO;NEGATIVO;SODIO ASCORBATO;;
LASSAIGNE:ZOLFO;NEGATIVO;SODIO CITRATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;SODIO P-AMMINO SALICILATO;DAZEBAO;
LASSAIGNE:ZOLFO;NEGATIVO;SODIO SALICILATO;DAZEBAO;
LASSAIGNE:ZOLFO;NEGATIVO;SORBITOLO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;SUCRALOSIO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;TEOBROMINA;DAZEBAO;
LASSAIGNE:ZOLFO;NEGATIVO;TEOFILLINA;;
LASSAIGNE:ZOLFO;NEGATIVO;TIMOLO;;
LASSAIGNE:ZOLFO;NEGATIVO;TREONINA;;
LASSAIGNE:ZOLFO;NEGATIVO;TRIPTOFANO;;
LASSAIGNE:ZOLFO;POSITIVO;ACETILCISTEINA;;
LASSAIGNE:ZOLFO;POSITIVO;CAPTOPRIL;;
LASSAIGNE:ZOLFO;POSITIVO;CHINIDINA SOLFATO;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;CHININA SOLFATO;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;CISTEINA HCl;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;CLORPROMAZINA HCl;DAZEBAO;
LASSAIGNE:ZOLFO;POSITIVO;DAPSONE;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;FTALILSULFATIAZOLO;DAZEBAO;
LASSAIGNE:ZOLFO;POSITIVO;FUROSEMIDE;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;IDROCLOROTIAZIDE;DAZEBAO;
LASSAIGNE:ZOLFO;POSITIVO;METIONINA;;
LASSAIGNE:ZOLFO;POSITIVO;PROMETAZINA HCl;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;SACCARINA;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;SACCARINA SODICA;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;SPIRONOLATTONE;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;SULFADIAZINA;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;SULFAGUANIDINA;DAZEBAO;
LASSAIGNE:ZOLFO;POSITIVO;SULFAMERAZINA;SCHEDE;
LASSAIGNE:ZOLFO;POSITIVO;SULFANILAMIDE;;
LASSAIGNE:ZOLFO;POSITIVO;SULFATIAZOLO;DAZEBAO;
LASSAIGNE:ZOLFO;POSITIVO;TOLBUTAMIDE;;
LIEBERMANN (FENOLI p-LIBERA);POSITIVO;SODIO SALICILATO;;CON H2SO4 DIL COLORE GIALLO, CON H2SO4 CONC COLORE ROSSO-BRUNO
LIEBERMANN (FENOLI p-LIBERA);POSITIVO;TIMOLO;;
AMMINE TERZIARIE (MAYER);NEGATIVO;BENZOCAINA;DAZEBAO;
AMMINE TERZIARIE (MAYER);NEGATIVO;FENAZONE;;INCOLORE
AMMINE TERZIARIE (MAYER);NEGATIVO;FENOTIAZINA;DAZEBAO;
AMMINE TERZIARIE (MAYER);NEGATIVO;ISONIAZIDE;;
AMMINE TERZIARIE (MAYER);NEGATIVO;METFORMINA HCl;;
AMMINE TERZIARIE (MAYER);POSITIVO;CHININA SOLFATO;DAZEBAO;
AMMINE TERZIARIE (MAYER);POSITIVO;LIDOCAINA HCl;DAZEBAO;PPT CREMA
AMMINE TERZIARIE (MAYER);POSITIVO;PROBENECID;;
AMMINE TERZIARIE (MAYER);POSITIVO;PROCAINA HCl;;
AMMINE TERZIARIE (MAYER);POSITIVO;PROCAINAMMIDE HCl;;
MILLON (FENOLI p-OCCUPATA);NEGATIVO;NICOTINAMIDE;DAZEBAO;NON SI OSSERVA COLORAZIONE ROSSO-VIOLA
MILLON (FENOLI p-OCCUPATA);POSITIVO;METILPARABEN;;PPT GIALLO CON ANELLO ROSA
MILLON (FENOLI p-OCCUPATA);POSITIVO;PARACETAMOLO;SCHEDE;ROSSO
MILLON (FENOLI p-OCCUPATA);POSITIVO;PROPILPARABEN;DAZEBAO;
MILLON (FENOLI p-OCCUPATA);POSITIVO;TIMOLO;;FORSE FALSO POSITIVO?
MILLON (FENOLI p-OCCUPATA);POSITIVO;VANILLINA;SCHEDE;VIOLA SCURO
MOHLER (LATTATI E TARTRATI);NEGATIVO;CALCIO GLICEROFOSFATO;SCHEDE;
MOHLER (LATTATI E TARTRATI);NEGATIVO;MANNITOLO;DAZEBAO;ALLA FIAMMA (IN CAPSULA) SI FORMA COLORAZIONE MARRONE SCURO
MOHLER (LATTATI E TARTRATI);NEGATIVO;POTASSIO SORBATO;DAZEBAO;ALLA FIAMMA (IN CAPSULA) SI FORMA COLORAZIONE SCURA (QUASI NERA)
MOHLER (LATTATI E TARTRATI);POSITIVO;MAGNESIO LATTATO;;ROSSO INTENSO
MOHLER (LATTATI E TARTRATI);POSITIVO;POTASSIO TARTRATO;DAZEBAO;ALLA FIAMMA (IN CAPSULA) SI FORMA COLORAZIONE ROSSA
MOLISCH (CARBOIDRATI);NEGATIVO;CALCIO GLICEROFOSFATO;SCHEDE;
MOLISCH (CARBOIDRATI);NEGATIVO;CLORBUTANOLO;DAZEBAO;APPARENTEMENTE SEMBRA SAGGIO POSITIVO PERCHE' SI FORMA ANELLO VIOLA E VERDE, MA SENZA FASE SOTTO L'ANELLO
MOLISCH (CARBOIDRATI);NEGATIVO;NICOTINAMIDE;DAZEBAO;
MOLISCH (CARBOIDRATI);POSITIVO;FRUTTOSIO;SCHEDE;ANELLO VIOLA
MOLISCH (CARBOIDRATI);POSITIVO;LATTOSIO;DAZEBAO;SI FORMA ANELLO VIOLA INTENSO
MOLISCH (CARBOIDRATI);POSITIVO;MANNITOLO;DAZEBAO;SI FORMA ANELLO VERDE-VIOLACEO
MOLISCH (CARBOIDRATI);POSITIVO;SACCAROSIO;SCHEDE;ANELLO VIOLA
MOLISCH (CARBOIDRATI);POSITIVO;SORBITOLO;SCHEDE;ANELLO VERDE
MOLISCH (CARBOIDRATI);POSITIVO;SUCRALOSIO;SCHEDE;ANELLO VIOLA
MURESSIDE (XANTINE);NEGATIVO;FENAZONE;SCHEDE;
MURESSIDE (XANTINE);NEGATIVO;GLICINA;;
MURESSIDE (XANTINE);NEGATIVO;IMIPRAMINA HCl;;
MURESSIDE (XANTINE);NEGATIVO;LIDOCAINA HCl;SCHEDE;
MURESSIDE (XANTINE);NEGATIVO;MANNITOLO;SCHEDE;
MURESSIDE (XANTINE);POSITIVO;CAFFEINA;DAZEBAO;ROSSO-PORPORA
MURESSIDE (XANTINE);POSITIVO;TEOBROMINA;DAZEBAO;COLORAZIONE FINALE ROSSO-PORPORA
MURESSIDE (XANTINE);POSITIVO;TEOFILLINA;;
NH4OH & Na2HPO4 (MAGNESIO);NEGATIVO;CALCIO GLICEROFOSFATO;SCHEDE;
NH4OH & Na2HPO4 (MAGNESIO);NEGATIVO;CALCIO LATTATO;SCHEDE;
NH4OH & Na2HPO4 (MAGNESIO);NEGATIVO;LATTOSIO;SCHEDE;
NH4OH & Na2HPO4 (MAGNESIO);NEGATIVO;SODIO ACETATO;SCHEDE;
NH4OH & Na2HPO4 (MAGNESIO);POSITIVO;MAGNESIO ASPARTATO;SCHEDE;
NH4OH & Na2HPO4 (MAGNESIO);POSITIVO;MAGNESIO LATTATO;;SOLUZIONE GELATINOSA CON RESIDUI BIANCHI
NH4OH B.M. (LATTOSIO);NEGATIVO;SACCAROSIO;SCHEDE;
NH4OH B.M. (LATTOSIO);POSITIVO;LATTOSIO;DAZEBAO;COLORAZIONE ARANCIONE CHIARO CHE DIVENTA ROSSO SBIADITO. INTENSO DOPO TANTI MINUTI A B.M.
NINIDRINA (AMINOACIDI);NEGATIVO;ACIDO NICOTINICO;SCHEDE;
NINIDRINA (AMINOACIDI);NEGATIVO;CAFFEINA;DAZEBAO;
NINIDRINA (AMINOACIDI);NEGATIVO;CALCIO PANTOTENATO;SCHEDE;
NINIDRINA (AMINOACIDI);NEGATIVO;CLORPROMAZINA HCl;DAZEBAO;
NINIDRINA (AMINOACIDI);NEGATIVO;EFEDRINA HCl;;VIOLETTO PALLIDO
NINIDRINA (AMINOACIDI);NEGATIVO;FENAZONE;SCHEDE;
NINIDRINA (AMINOACIDI);NEGATIVO;FTALILSULFATIAZOLO;SCHEDE;
NINIDRINA (AMINOACIDI);NEGATIVO;IDROCLOROTIAZIDE;DAZEBAO;
NINIDRINA (AMINOACIDI);NEGATIVO;IMIPRAMINA HCl;;
NINIDRINA (AMINOACIDI);NEGATIVO;METFORMINA HCl;;
NINIDRINA (AMINOACIDI);NEGATIVO;METRONIDAZOLO;;
NINIDRINA (AMINOACIDI);NEGATIVO;NICOTINAMIDE;SCHEDE;
NINIDRINA (AMINOACIDI);NEGATIVO;PARACETAMOLO;SCHEDE;
NINIDRINA (AMINOACIDI);NEGATIVO;PIRIDOSSINA HCl;SCHEDE;
NINIDRINA (AMINOACIDI);NEGATIVO;PROCAINAMMIDE HCl;SCHEDE;
NINIDRINA (AMINOACIDI);NEGATIVO;PROMETAZINA HCl;SCHEDE;
NINIDRINA (AMINOACIDI);NEGATIVO;PROPIFENAZONE;SCHEDE;
NINIDRINA (AMINOACIDI);NEGATIVO;SODIO P-AMMINO SALICILATO;SCHEDE;COLORAZIONE GIALLO-ARANCIO
NINIDRINA (AMINOACIDI);NEGATIVO;SULFAGUANIDINA;DAZEBAO;
NINIDRINA (AMINOACIDI);NEGATIVO;TIAMINA HCl;SCHEDE;
NINIDRINA (AMINOACIDI);POSITIVO;ASPARTAME;SCHEDE;VIOLA INTENSO
NINIDRINA (AMINOACIDI);POSITIVO;CISTEINA HCl;DAZEBAO;FORMAZIONE BOLLICINE IN PROVETTA DURANTE RISCALDAMENTO A B.M.
NINIDRINA (AMINOACIDI);POSITIVO;FENILALANINA;SCHEDE;BLU-VIOLA
NINIDRINA (AMINOACIDI);POSITIVO;GLICINA;;
NINIDRINA (AMINOACIDI);POSITIVO;LEUCINA;;
NINIDRINA (AMINOACIDI);POSITIVO;METIONINA;;
NINIDRINA (AMINOACIDI);POSITIVO;METIONINA;;
NINIDRINA (AMINOACIDI);POSITIVO;POTASSIO ASPARTATO;;COLORAZIONE VIOLA INTENSA
NINIDRINA (AMINOACIDI);POSITIVO;PROLINA;;PRIMA GIALLO POI VERDE
NINIDRINA (AMINOACIDI);POSITIVO;SERINA;;
NINIDRINA (AMINOACIDI);POSITIVO;SERINA;;
NINIDRINA (AMINOACIDI);POSITIVO;TREONINA;;
NINIDRINA (AMINOACIDI);POSITIVO;TRIPTOFANO;;
ORGANOLETTICA;POSITIVO;ACIDO TANNICO;SCHEDE;COLORE LEGGERMENTE ROSATO
ORGANOLETTICA;POSITIVO;CLORAMINA T;;ODORE PUNGENTE
ORGANOLETTICA;POSITIVO;MAGNESIO LATTATO;;ODORE SGRADEVOLE
ORGANOLETTICA;POSITIVO;SODIO ACETATO;DAZEBAO;ODORE DI ACETO SI SENTE BENE DOPO LA FIAMMA
ORGANOLETTICA;POSITIVO;TIMOLO;;ODORE PARTICOLARE
OSSALATO AMMONIO (CALCIO);NEGATIVO;LATTOSIO;SCHEDE;
OSSALATO AMMONIO (CALCIO);NEGATIVO;POTASSIO SORBATO;DAZEBAO;APPARENTEMENTE POSITIVO PER VIA DELLA SCARSA SOLUBILITA IN ACIDO ACETICO (SOSTANZA NON DISCIOLTA SEMBRA PPT). SE SCIOLTO BENE SMINUZZANDO LA SOSTANZA IL SAGGIO VIENE NEGATIVO
OSSALATO AMMONIO (CALCIO);POSITIVO;CALCIO GLICEROFOSFATO;SCHEDE;PPT BIANCO
OSSALATO AMMONIO (CALCIO);POSITIVO;CALCIO LATTATO;SCHEDE;PPT BIANCO
PROVA AL COCCIO;POSITIVO;ACIDO ACETILSALICILICO;SCHEDE;FONDE E POI BRUCIA
PROVA AL COCCIO;POSITIVO;ACIDO ASCORBICO;DAZEBAO;CARBONIZZA SENZA RIGONFIAMENTO
PROVA AL COCCIO;POSITIVO;ACIDO CITRICO;SCHEDE;FONDE (GIALLO) E CARBONIZZA CON RESIDUO
PROVA AL COCCIO;POSITIVO;ACIDO NICOTINICO;DAZEBAO;CARBONIZZA COMPLETAMENTE DOPO 1 MIN, POCO RESIDUO
PROVA AL COCCIO;POSITIVO;ACIDO SALICILICO;SCHEDE;FONDE
PROVA AL COCCIO;POSITIVO;ACIDO SORBICO;SCHEDE;CARBONIZZA
PROVA AL COCCIO;POSITIVO;ACIDO TANNICO;SCHEDE;CARBONIZZA DOPO UN PO' DI TEMPO
PROVA AL COCCIO;POSITIVO;ASPARTAME;SCHEDE;SI SCIOGLIE CON RESIDUO GIALLO
PROVA AL COCCIO;POSITIVO;BENZOCAINA;DAZEBAO;FORMA BOLLE, FONDE COMPLETAMENTE E POI EVAPORA. ATTENZIONE A NON CONFONDERE CON SUBLIMAZIONE
PROVA AL COCCIO;POSITIVO;CAFFEINA;DAZEBAO;SUBLIMA
PROVA AL COCCIO;POSITIVO;CALCIO GLICEROFOSFATO;DAZEBAO;SI SCURISCE LEGGERMENTE (MARRONE/GRIGIO) MA NON CARBONIZZA IN MODO OMOGENEO (PRIMA IN PARTE POI DEL TUTTO)
PROVA AL COCCIO;POSITIVO;CALCIO LATTATO;DAZEBAO;RIGONFIAMENTO E POSSIBILE CAMBIAMENTO COLORE (GIALLO). POI CARBONIZZA
PROVA AL COCCIO;POSITIVO;CALCIO PANTOTENATO;SCHEDE;FONDE E POI CARBONIZZA
PROVA AL COCCIO;POSITIVO;CAPTOPRIL;;FONDE, CAMBIA COLORE (GIALLO) E CARBONIZZA TOTALMENTE
PROVA AL COCCIO;POSITIVO;CHINIDINA SOLFATO;DAZEBAO;CARBONIZZA CON FORMAZIONE DI PICCOLE BOLLICINE
PROVA AL COCCIO;POSITIVO;CHININA HCl;SCHEDE;CARBONIZZA CON RESIDUO
PROVA AL COCCIO;POSITIVO;CHININA SOLFATO;DAZEBAO;CARBONIZZA CON ODORE SGRADEVOLE (AMMINA)
PROVA AL COCCIO;POSITIVO;CISTEINA HCl;SCHEDE;INIZIO CAMBIA COLORE (GIALLO) POI CARBONIZZA E RIGONFIA LEGGERMENTE
PROVA AL COCCIO;POSITIVO;CLORALIO IDRATO;SCHEDE;FONDE LASCIANDO RESIDUO NERO
PROVA AL COCCIO;POSITIVO;CLORAMINA T;;CAMBIA COLORE (ARANCIONE), RIGONFIA, CARBONIZZA E RIMANE RESIDUO
PROVA AL COCCIO;POSITIVO;CLORBUTANOLO;DAZEBAO;FONDE ED EVAPORA. SI OSSERVANO FIAMME VERDI AI BORDI
PROVA AL COCCIO;POSITIVO;CLOROCHINA BIFOSFATO;SCHEDE;FONDE, DIVENTA ROSSA, SI INFIAMMA E POI CARBONIZA RIGONFIANDO
PROVA AL COCCIO;POSITIVO;CLORPROMAZINA HCl;DAZEBAO;FONDE CON COLORAZIONE GIALLA E POI EVAPORA COMPLETAMENTE
PROVA AL COCCIO;POSITIVO;CORTISONE ACETATO;DAZEBAO;INIZIALMENTE FONDE E PRENDE COLORE GIALLO
PROVA AL COCCIO;POSITIVO;DAPSONE;DAZEBAO;FONDE DIVENTANDO GIALLO E RIGONFIA CARBONIZZANDO
PROVA AL COCCIO;POSITIVO;DESAMETASONE SODIO FOSFATO;SCHEDE;FONDE IN MODO NON OMOGENEO AL CENTRO CARBONIZZA PIU LENTAMENTE
PROVA AL COCCIO;POSITIVO;ECONAZOLO NITRATO;SCHEDE;SI SCIOGLIE CON COLORE GIALLO E POI CARBONIZZA
PROVA AL COCCIO;POSITIVO;EFEDRINA HCl;SCHEDE;RESIDUO SCURO
PROVA AL COCCIO;POSITIVO;FENAZONE;SCHEDE;FONDE, SI INFIAMMA E POI EVAPORA COMPLETAMENTE
PROVA AL COCCIO;POSITIVO;FENILALANINA;SCHEDE;FONDE, CAMBIANDO COLORE, E POI CARBONIZZA
PROVA AL COCCIO;POSITIVO;FENILEFRINA HCl;SCHEDE;CARBONIZZA
PROVA AL COCCIO;POSITIVO;FENOLO;SCHEDE;SI INFIAMMA E CARBONIZZA
PROVA AL COCCIO;POSITIVO;FRUTTOSIO;DAZEBAO;FA BOLLE, DIVENTA GIALLINO POI CARBONIZZA LASCIANDO RESIDUO NERO
PROVA AL COCCIO;POSITIVO;FTALILSULFATIAZOLO;DAZEBAO;CARBONIZZA CON LEGGERO RIGONFIAMENTO
PROVA AL COCCIO;POSITIVO;FUROSEMIDE;DAZEBAO;CARBONIZZA CON RESIDUO NERO E LEGGERO RIGONFIAMENTO
PROVA AL COCCIO;POSITIVO;GLICINA;;CARBONIZZA COMPLETAMENTE
PROVA AL COCCIO;POSITIVO;GLUCOSIO;;CARAMELLIZZA CON RESIDUO CARBONIOSO
PROVA AL COCCIO;POSITIVO;IDROCLOROTIAZIDE;DAZEBAO;RIGONFIA, FORMA BOLLICINE E POI CARBONIZZA
PROVA AL COCCIO;POSITIVO;IDROCORTISONE;DAZEBAO;INIZIALMENTE SEMBRA SUBLIMARE, POI SI FORMA UNA MACCHIA GIALLA
PROVA AL COCCIO;POSITIVO;IDROCORTISONE ACETATO;SCHEDE;FONDE DIVENTANDO GIALLOGNOLA POI CARBONIZZA CON RESIDUO
PROVA AL COCCIO;POSITIVO;IMIPRAMINA HCl;;FONDE E POI EVAPORA LASCIANDO ALONE GIALLO-MARRONE
PROVA AL COCCIO;POSITIVO;ISONIAZIDE;;FORMA BOLLE, POI LIQUIDO GIALLO CHE SI INFIAMMA
PROVA AL COCCIO;POSITIVO;LATTOSIO;DAZEBAO;CARAMELLIZZA, RIGONFIA, LASCIANDO RESIDUO CARBONIOSO NERO
PROVA AL COCCIO;POSITIVO;LEUCINA;;FONDE E CARBONIZZA
PROVA AL COCCIO;POSITIVO;LIDOCAINA HCl;DAZEBAO;FONDE COMPLETAMENTE SENZA LASCIARE RESIDUO, NON CONFONDERE CON SUBLIMAZIONE
PROVA AL COCCIO;POSITIVO;LISINA HCl;SCHEDE;RESIDUO NERO
PROVA AL COCCIO;POSITIVO;LITIO CITRATO;SCHEDE;FONDE MA RESTA RESIDUO
PROVA AL COCCIO;POSITIVO;MAGNESIO ASPARTATO;SCHEDE;CARBONIZZA SOLO IN PARTE, CON RESIDUO BIANCO-GIALLO
PROVA AL COCCIO;POSITIVO;MAGNESIO LATTATO;;COMBUSTIONE NON COMPLETA, POSSIBILE CAMBIAMENTO DI COLORE, BIANCO-GRIGIO
PROVA AL COCCIO;POSITIVO;MANNITOLO;SCHEDE;FONDE VELOCEMENTE ED EVAPORA SENZA RESIDUO. CARAMELLIZZA
PROVA AL COCCIO;POSITIVO;METFORMINA HCl;;CARBONIZZA, CON FORMAZIONE PICCOLE BOLLE
PROVA AL COCCIO;POSITIVO;METILPARABEN;SCHEDE;CARBONIZZA
PROVA AL COCCIO;POSITIVO;METIONINA;;CARBONIZZA COMPLETAMENTE
PROVA AL COCCIO;POSITIVO;METRONIDAZOLO;;FONDE, COLORAZIONE GIALLA, CARBONIZZA
PROVA AL COCCIO;POSITIVO;NICLOSAMIDE;SCHEDE;SI SCIOGLIE SCURENDOSI POI EVAPORA CON ODORE SGRADEVOLE LASCIANDO MACCHIA MARRONE
PROVA AL COCCIO;POSITIVO;NICOTINAMIDE;DAZEBAO;FONDE, COLORAZIONE GIALLA, SI INFIAMMA POI CARBONIZZA
PROVA AL COCCIO;POSITIVO;POTASSIO SORBATO;DAZEBAO;"CARBONIZZA CON  RIGONFIAMENTO; RESIDUO GRIGIO"
PROVA AL COCCIO;POSITIVO;POTASSIO TARTRATO;DAZEBAO;CARBONIZZA RIGONFIANDO. RESIDUO SCURO
PROVA AL COCCIO;POSITIVO;PREDNISONE;SCHEDE;CARBONIZZA CON RESIDUO
PROVA AL COCCIO;POSITIVO;PROCAINA HCl;;CARBONIZZA
PROVA AL COCCIO;POSITIVO;PROCAINAMMIDE HCl;SCHEDE;FONDE, DIVENTA GIALLA POI BRUCIA
PROVA AL COCCIO;POSITIVO;PROGESTERONE;DAZEBAO;INIZIALMENTE FONDE, POI CARBONIZZA ED INFINE SCOMPARE
PROVA AL COCCIO;POSITIVO;PROLINA;;FONDE E POI EVAPORA LASCIANDO ALONE MARRONE-NERO
PROVA AL COCCIO;POSITIVO;PROMETAZINA HCl;DAZEBAO;SI SCIOGLIE ALL'ISTANTE, CARBONIZZA ED EVAPORALASCIANDO POCO RESIDUO NERO
PROVA AL COCCIO;POSITIVO;PROPIFENAZONE;SCHEDE;FONDE, SI INFIAMMA E POI RIMANE ALONE BRUNO
PROVA AL COCCIO;POSITIVO;PROPILPARABEN;SCHEDE;FONDE ED EVAPORA QUASI COMPLETAMENTE. NON SI NOTA BENE LA CARBONIZZAZIONE
PROVA AL COCCIO;POSITIVO;SACCARINA;SCHEDE;FONDE COMPLETAMENTE
PROVA AL COCCIO;POSITIVO;SACCARINA SODICA;DAZEBAO;CARBONIZZA DOPO UN PO' DI TEMPO LASCIANDO RESIDUO GRIGIO
PROVA AL COCCIO;POSITIVO;SACCAROSIO;SCHEDE;LASCIA RESIDUO CARBONIOSO
PROVA AL COCCIO;POSITIVO;SCOPOLAMINA HBr;;RIGONFIA CON RESIDUO NERO
PROVA AL COCCIO;POSITIVO;SERINA;;CARBONIZZA E RIGONFIA
PROVA AL COCCIO;POSITIVO;SODIO ACETATO;SCHEDE;LIQUEFAZIONE SEGUITA DA CARBONIZZAZIONE, RESIDUO GRIGIO-NERO
PROVA AL COCCIO;POSITIVO;SODIO ASCORBATO;;CARBONIZZA SUBITO E SI RIGONFIA
PROVA AL COCCIO;POSITIVO;SODIO BENZOATO;DAZEBAO;SI SCIOGLIE, DIVENTA NERO E RIGONFIA LEGGERMENTE, RIMANGONO RESIDUI PIU CHIARI
PROVA AL COCCIO;POSITIVO;SODIO CITRATO;SCHEDE;COMBUSTIONE INCOMPLETA RIGONFIANDO, CON RESIDUO BIANCASTRO
PROVA AL COCCIO;POSITIVO;SODIO P-AMMINO SALICILATO;DAZEBAO;INIZIALMENTE CARBONIZZA AI LATI ED AL CENTRO BIANCO O GRIGIO, POI TUTTO NERO
PROVA AL COCCIO;POSITIVO;SODIO SALICILATO;DAZEBAO;FORMAZIONE RESIDUO GRIGINO, INIZIALMENTE CARBONIZZA MA RESTA AL CENTRO PORZIONE BIANCASTRA
PROVA AL COCCIO;POSITIVO;SORBITOLO;SCHEDE;FONDE COMPLETAMENTE SENZA RESIDUO. CARAMELLIZZA
PROVA AL COCCIO;POSITIVO;SPIRONOLATTONE;SCHEDE;FONDE, SI INFIAMMA E POI CARBONIZZA
PROVA AL COCCIO;POSITIVO;SUCRALOSIO;SCHEDE;RIGONFIAMENTO SEGUITO DA CARBONIZZAZIONE
PROVA AL COCCIO;POSITIVO;SULFADIAZINA;SCHEDE;RIGONFIA E CARBONIZZA
PROVA AL COCCIO;POSITIVO;SULFAGUANIDINA;DAZEBAO;RIGONFIA E CARBONIZZA
PROVA AL COCCIO;POSITIVO;SULFAMERAZINA;DAZEBAO;FUSIONE INIZALE CON PASSAGGIO A LIQUIDO GIALLO, SEGUITO DA RIGONFIAMENTO GRIGIO BRINTALLINATO
PROVA AL COCCIO;POSITIVO;SULFANILAMIDE;;CARBONIZZA
PROVA AL COCCIO;POSITIVO;SULFATIAZOLO;DAZEBAO;RIGONFIA E CARBONIZZA. RESIDUO NERO
PROVA AL COCCIO;POSITIVO;TEOBROMINA;DAZEBAO;SUBLIMA
PROVA AL COCCIO;POSITIVO;TEOFILLINA;;SCOMPARE LASCIANDO LEGGERO ALONE NERO (SUBLIMA)
PROVA AL COCCIO;POSITIVO;TIAMINA HCl;DAZEBAO;CARBONIZZA RIGONFIANDO
PROVA AL COCCIO;POSITIVO;TIMOLO;;DIVIENE LIQUIDO E POI EVAPORA
