id;nome saggio;descrizione;img;molecola interessata;rif saggio temp;visualizza grafico
46;AMMINE TERZIARIE (MAYER);Preparare una soluzione della sostanza, sciogliendo circa 50 mg di sostanza in circa 5 ml di acqua (se necessario aggiungere acido cloridrico diluito, HCl 2N) o etanolo. Aggiungere 1ml di reattivo di Mayer (Soluzione di tetraiodo-mercurato di potassio, K2[Hg I4]), che è positiva se si osserva colorazione o ppt di colore bianco o crema;;;46;1
8;BASE SCHIFF (SULFAMIDICI);Preparare una soluzione della sostanza, sciogliendo circa 50 mg di sostanza in circa 1-2 ml di acqua, con l’aggiunta di acido solforico diluito (H2SO4 2N). Preparare al momento una soluzione diluita di p-dimetilamminobenzaldeide (50 mg in 2 ml di H2O). Aggiungere alla soluzione della sostanza alcune gocce della soluzione preparata. Il saggio è positivo se si ottiene una colorazione arancione. Note: i) Reazione usata per l’identificazione della classe dei sulfamidici. ii) Per Ftalilsulfatiazolo è necessaria idrolisi: sciogliere 50 mg di sostanza in NaOH 5N (1 ml NaOH 10N + 1 ml H2O) e b.m. per 10 minuti. Dopo raffreddamento aggiungere HCl 6N fino a pH acido (pH=3). Eseguire quindi il saggio della base di Schiff o diazo-copulazione.;base_schiff.png;;8;1
61;BEILSTEIN (FILO Cu);"SOTTO CAPPA IN ASPIRAZIONE, CON OCCHIALI DI PROTEZIONE. Preparare una piccola aliquota di sostanza in un vetrino da orologio. Pulire bene il filo di rame, o alla fiamma o mediante un pezzetto di carta vetrata (attenzione, NON in acido cloridrico!). Subito dopo passare il filo a contatto con la sostanza, in modo da prelevarne una piccola quantità (qualche cristallo). Porre il filo di Cu sulla fiamma del bunsen: il saggio è positivo in caso di colorazione alla fiamma. Il colore permette di identificare la presenza di alogeni, per formazione dei derivati volatili rameici corrispondenti (CuCl2, CuBr2, CuI2 e CuF2). In caso di saggio positivo, confermare per via umida. Note: i) Il saggio è poco indicativo per le sostanze inorganiche. ii) il fluoruro, F-, ha una colorazione labile; iii) alcuni composti (saccarina e sali di NH4+) sono falsi positivi, per formazione di CuCN, verde alla fiamma; iv) alcuni composti (tiamina cloridrato) possono risultare falsi negativi.";;;61;1
9;BIURETO CUSO4 + HCL (CALCIO PANTOTENATO);Preparare una soluzione della sostanza, sciogliendo circa 20 mg di sostanza in circa 1-2 ml di acqua. Aggiungere 1-2 gocce di soluzione acquosa (12%) di solfato di rame (CuSO4). In presenza di aminoacidi (sia α-aminoacidi che β-aminoacidi) si ha la formazione di complessi dello ione rame(II), in cui CuII è “chelato” dagli atomi di ossigeno ed azoto della sostanza. Il saggio è positivo se si sviluppa una colorazione blu intensa (in alcuni casi celeste o azzurra), che vira e si intensifica per alcalinizzazione con idrossido di sodio diluito (NaOH 2N).;saggio_biureto.png;;9;1
11;BORACE & FENOLFTALEINA (POLIALCOLI);Preparare una soluzione acquosa della sostanza in esame, sciogliendo circa 20 mg di sostanza in circa 2 ml di H2O (se insolubile in H2O, l’importante è che alla fine la soluzione sia neutra, quindi eventualmente neutralizzare usando soluzioni di NaOH e/o HCl, e controllare il pH). Preparare una seconda soluzione, prelevando qualche ml di una soluzione al 5% di borace (Na2B4O7), ed aggiungervi qualche goccia di fenolftaleina, indicatore di pH, che renderà la colorazione della seconda soluzione viola. Aggiungere 1-2 ml della prima soluzione (con la sostanza) alla soluzione di borace. Il saggio è positivo se si noterà una decolorazione, indice che la soluzione al borace “ha virato” a causa della variazione di pH, indotta dalla sostanza. Note: i) Saggio che si applica per il riconoscimento di molecole con molti gruppi idrossilici, sia aromatici (come l’acido tannico) che alifatici (come sorbitolo e mannitolo). ii) Alla base del meccanismo vi sta un equilibrio tra acido borico e borace.;saggio_polialcoli.png;;11;1
14;BOUCHARDAT IN AMB BASICO (CLORBUTANOLO);Preparare una soluzione sciogliendo circa 20 mg di sostanza in ambiente leggermente basico, ottenuto mettendo in una provetta 3 ml di idrossido di sodio diluito (NaOH 2N) e 5 ml di acqua. Aggiungere, goccia a goccia, 2 ml di reattivo di Bouchardat. Il saggio è positivo se si forma un precipitato giallo chiaro di iodoformio (si dovrebbe sentire anche un odore caratteristico;;;14;1
13;BOUCHARDAT IN AMB BASICO (LATTATI);Preparare una soluzione acquosa della sostanza, sciogliendo circa 50 mg in 1-2 ml di acqua. Aggiungere 1-2 ml del reattivo di Bouchardat (soluzione iodo-iodurata) ed un leggero eccesso di NaOH 2N (aiutarsi controllando il pH con la cartina tornasole). Il saggio è positivo se si ottiene un precipitato giallo (iodoformio). Note: i) Il saggio permette di identificare i metil-alcoli e i metil-chetoni. ii) Il saggio è positivo per Calcio lattato e Magnesio lattato. iii) Saggio che permette di distinguere il Calcio gluconato, che non reagisce. iv) Per Clorbutanolo il saggio è positivo;;;13;1
15;CaCl2 IN AMB BASICO (CITRATI);;;;15;0
16;CHEN-KAO (FENIL-ALCHIL-AMMINE);Preparare una soluzione sciogliendo circa 20 mg di sostanza in circa 1 ml di acqua. Aggiungere qualche goccia di una soluzione acquosa (12%) di solfato di rame (CuSO4) ed 1 ml di idrossido di sodio concentrato (NaOH 10N). Aggiungere 2 ml di etere etilico, ed osservare l’eventuale separazione tra fasi. Il saggio è positivo se si osserva una colorazione blu-viola, con possibile formazione di precipitato. Note i) l’ambiente fortemente basico favorisce la disponibilità elettronica dell’azoto dell’alcaloide. ii) Il saggio è positivo per Efedrina cloridrato (fase in etere viola, fase acquosa sottostante blu) e Fenilefrina cloridrato (colorazione violetta non estratta dall’etere etilico, che rimane incolore). iii) Avviene con meccanismo molto simile al saggio del Biureto (formazione di complesso a base di Cu2);;;16;1
18;CLORAMMINA T (FENOTIAZINE);Preparare una soluzione della sostanza, sciogliendo circa 20 mg di sostanza in circa 1 ml di acqua. Aggiungere alla soluzione circa 20 mg di Clorammina T. Scaldare a b.m. e acidificare con acido cloridrico diluito (HCl 2N). Il saggio è positivo se si forma una colorazione rossa.;;;18;1
17;CLORAMMINA T & CH2Cl2 (BROMURI E IODURI);Sciogliere circa 20 mg di sostanza in 1-2 ml di H2O, acidificare con poche gocce di acido solforico diluito (H2SO4 2N). Aggiungere 2 ml di Cloramina T (ossidante), e successivamente 1 ml di diclorometano (CH2Cl2). Il saggio è positivo se si osserva una separazione in due fasi, e si osserva la fase organica (sottostante) colorata. Se arancio-bruno, il saggio identifica la presenza dei bromuri, se viola la presenza di ioduri.;;;17;1
76;CORALINA (ALC ISOCHINOLINICI);SOTTO CAPPA, OCCHIALI DI PROTEZIONE. Preparare una soluzione sciogliendo circa 20 mg di sostanza in circa 1 ml di anidride acetica. Aggiungere cautamente 2-3 gocce di acido solforico concentrato (H2SO4). Scaldare a b.m. per qualche minuto. Il saggio è positivo se si sviluppa fluorescenza verde (osservabile alla lampada UV con λ = 365 nm, con protezione). Note: i) Il saggio è positivo per Papaverina cloridrato.;saggio_coralina.png;;76;1
19;DENIGES & KMnO4 (CITRATI);SOTTO CAPPA, OCCHIALI DI PROTEZIONE. Preparare una soluzione acquosa della sostanza, sciogliendo circa 50 mg in 1-2 ml di acqua. Aggiungere 2 gocce del reattivo di Deniges (fare attenzione, contiene Mercurio). Scaldare a b.m. (sotto cappa!) per qualche minuto e poi aggiungere alcune gocce (iniziare con una sola goccia!) di una soluzione acquosa 0,1M (3%) di permanganato di potassio (KMnO4), già pronta, senza agitare. Il saggio è positivo se si osserva decolorazione, accompagnata dalla formazione di un precipitato bianco (che si può presentare anche dopo alcuni minuti. Note: i) Il saggio è positivo per Acido citrico, Litio citrato,Sodio citrato di sodio e Potassio citrato. ii) Il saggio è positivo per Clorbutanolo. iii) Il precipitato può presentarsi anche dopo alcuni minuti, in caso di dubbi tenere la provetta in oservazione per un po’;saggio_deniges.png;;19;1
23;FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);Preparare una soluzione acquosa della sostanza in esame, sciogliendo circa 20 mg di sostanza in circa 1-2 ml di H2O o EtOH. Aggiungere alcune gocce (fino a 0,5 ml) di una soluzione acquosa (8%) di FeCl3, ed osservare l’eventuale colorazione.;saggio_cloruro_ferrico.png;;23;1
